injection,structure_id,experiment_id,hemisphere_id,id,is_injection,max_voxel_density,max_voxel_x,max_voxel_y,max_voxel_z,normalized_projection_volume,projection_density,projection_energy,projection_intensity,projection_volume,sum_pixel_intensity,sum_pixels,sum_projection_pixel_intensity,sum_projection_pixels,volume
385,797,113887162,2,633273012,False,1,7520,4470,8200,0.141523924860759,0.0581788271665573,95.1272354125977,1635.08337402344,0.0577196676,209377847296,809883904,77042016256,47118096,0.9921077824
385,606826651,114008926,3,634032811,False,1,8180,6090,5920,0.364861212831368,0.386488737013688,1373.39853073836,3553.52795362241,0.0578580828,193257136128,122205600,167836991488,47231088,0.14970186
385,557,114008926,3,634032133,False,0.821473658084869,7430,6570,6940,0.0644714792214214,0.0646173682269552,53.185079267745,823.07714979885,0.0102236029806641,24372932736,129157200,6869235920,8345798.3515625,0.15821757
385,946,114008926,1,634028450,False,0.702509701251984,7660,5490,5590,0.204960788749128,0.0833813771605492,53.0038452148438,635.6796875,0.0325017784,77715161088,318201312,16865893376,26532064,0.3897966072
385,557,114008926,2,634026642,False,0.821473658084869,7430,6570,6940,0.0579674822498766,0.116197307428467,101.384174076242,872.517413010243,0.0091922278109375,17299897472,64578600,6547248024,7503859.4375,0.079108785
385,331,114008926,3,634031696,False,1,8090,5990,5320,1.53233819126432,0.216970101767486,631.39789376635,2910.06866210065,0.24299143572915,730883209088,914228984,577242254917.75,198360355.697266,1.1199305054
385,946,114008926,2,634027169,False,0.866570889949799,7530,5250,6140,0.385788391216392,0.156944990158081,138.400924682617,881.843566894531,0.0611766225,118818299904,318201312,44039356416,49940100,0.3897966072
385,491,114008926,3,634032049,False,1,8090,5990,5320,1.32882221386226,0.353851878828902,1138.89940717645,3218.57668509695,0.21071876914375,641502424064,486122392,553644504064,172015321.75,0.5954999302
385,63,114008926,3,634031310,False,0.84276419878006,6510,5780,6500,0.0695454740005161,0.0765673813423963,83.4541222577732,1089.94353463103,0.01102821470625,37590516736,117577800,9812352096,9002624.25,0.144032805
385,606826647,114008926,2,634025908,False,1,8090,5980,6070,0.291564160883206,0.394402951002121,1380.70593261719,3500.74951171875,0.0462349594,148860862464,95696096,132128169984,37742824,0.1172277176
385,525,114008926,3,634032085,False,1,8080,5970,6330,0.132699349441555,0.0749307528270298,65.8572049129711,878.907557021292,0.0210428778875,55564982272,229249792,15097750528,17177859.5,0.2808309952
385,614,114008926,3,634032238,False,0.998861491680145,7160,6450,6730,0.246225131483241,0.0676875983235307,46.1330063300816,681.557736907384,0.039045295975,81078083584,470894400,21723774336,31873711,0.57684564
385,525,114008926,2,634026597,False,1,8080,5970,6330,0.0864219190828971,0.0975989624857903,94.986198425293,973.229614257812,0.013704406975,32518430720,114624896,10887783424,11187271,0.1404154976
385,491,114008926,2,634026564,False,1,8150,5920,5810,0.73650132980783,0.392245669275815,1298.69549553274,3310.92373290051,0.1167911343375,363255301120,243061196,315662480384,95339701.5,0.2977499651
385,525,114008926,1,634029151,False,0.725844979286194,8180,5830,5280,0.046277430358658,0.0522625409066677,36.7282104492188,702.763549804688,0.0073384709125,23046551552,114624896,4209967104,5990588.5,0.1404154976
385,1097,114008926,3,634032721,False,1,8090,5990,5320,5.70657255722582,0.0539916499111988,82.7693332465155,1533.0024806178,0.9049231212,3359198346432,13681981440,1132448481280,738712752,16.760427264
385,689,114008926,3,634032369,False,0.590770125389099,5310,6950,6490,0.025105537024162,0.0551920962656708,26.9210332283802,487.769717946461,0.00398112539453125,7870477824,58883400,1585201968,3249898.28125,0.072132165
385,946,114008926,3,634032594,False,0.866570889949799,7530,5250,6140,0.59074917996552,0.120163181476763,95.7023863433976,796.436855010406,0.0936784009,196533460992,636402624,60905249792,76472164,0.7795932144
385,226,114008926,3,634031501,False,0.683727622032166,5730,6160,7080,0.242378289524972,0.0622561192602699,35.6895004706551,573.268955641942,0.038435280734375,102102867968,503978400,17986737344,31375739.375,0.61737354
385,523,114008926,2,634026595,False,0.633669137954712,5310,6160,6370,0.117554709537345,0.0608723759651184,40.8493347167969,671.065185546875,0.01864130765,64775127040,249988496,10211863552,15217394,0.3062359076
385,331,114008926,2,634026339,False,1,8150,5920,5810,0.887141555168422,0.251228083466669,732.256664223194,2914.7086349538,0.14067899724375,419360871552,457114492,334725133080,114839997.75,0.5599652527
385,606826659,114008926,3,634032626,False,1,8060,5880,5600,0.311249279266481,0.582474635764079,2064.70412564585,3544.71078888682,0.0493565387,157227089920,69172200,142820126720,40291052,0.084735945
385,467,114008926,2,634026539,False,1,8150,5920,5810,1.61827446853069,0.121000650924001,240.410719226473,1986.85475979358,0.256618831765625,772862588032,1731269700,416215793752,209484760.625,2.1208053825
385,732,114008926,3,634032434,False,1,7890,5930,5550,0.201509295090422,0.376616249556035,850.694702507284,2258.78385096263,0.03195445575,73134215168,69262200,58920986624,26085270,0.084846195
385,606826651,114008926,2,634029062,False,1,8180,6090,5920,0.176959034849119,0.374896913766861,1305.7578125,3482.97827148438,0.0280613837,93009461248,61102800,79785459712,22907252,0.07485093
385,263,114008926,2,634026235,False,0.523912072181702,4950,6350,6150,0.0251864254923177,0.0782798007130623,51.463134765625,657.425476074219,0.00399395233125,11192641536,41650200,2143449856,3260369.25,0.051021495
385,576073704,114008926,2,634031214,False,1,6220,5800,6570,0.303344850945072,0.407282173633575,1135.99645996094,2789.21240234375,0.0481030893,134454976512,96414304,109526310912,39267828,0.1181075224
